Operation,TM - Proxies,TM + Proxies,Operation,Relative overhead
delete,0.00042,0.00041,delete,0.97619047619048
getPrototypeOf,0.00047,0.00046,getPrototypeOf,0.97872340425532
construct,0.00061,0.0006,construct,0.98360655737705
hasOwn,0.00081,0.00081,hasOwn,1
get,0.00038,0.00038,get,1
set,0.0004,0.0004,set,1
enumerate,0.00158,0.00158,enumerate,1
===,0.00043,0.00043,===,1
getOwnPropertyDescriptor,0.00148,0.0015,getOwnPropertyDescriptor,1.01351351351351
invoke,0.00049,0.0005,invoke,1.02040816326531
call,0.00047,0.00048,call,1.02127659574468
enumerateOwn,0.0009,0.00092,enumerateOwn,1.02222222222222
has,0.00041,0.00042,has,1.02439024390244
typeof,0.00038,0.00039,typeof,1.02631578947368
defineProperty,0.00101,0.00107,defineProperty,1.05940594059406
instanceof,0.00049,0.00053,instanceof,1.08163265306122
